m,exp,obs
49.6907216494845,2.48966405503369,1.43805420184307
52.9896907216495,2.77852205165634,2.76403603285579
56.9072164948453,2.58244916970259,3.02089902388162
60,2.54226804939492,2.72102954673638
64.9484536082474,2.3261024079767,2.17328615138066
68.6597938144329,2.55559180578661,3.37139243212813
73.8144329896907,2.51582856745836,4.58931654209824
78.9690721649484,3.42467805043724,2.04115103665795
84.9484536082474,1.89711245829871,2.40021262747292
90.9278350515463,1.647400114911,2.19612576799276
97.7319587628866,1.54723870586705,1.63881127933833
105.979381443299,1.45316707900225,2.12831704103069
113.814432989691,1.38638618623085,1.9070550228713
121.855670103093,1.30209434198787,1.59653412799103
132.164948453608,1.14857381300723,1.59653412799103
142.886597938144,1.10730657174038,1.43055680581135
154.020618556701,1.01315377955791,1.65603396365715
167.01030927835,0.961554474826807,1.33657455672274
180.824742268041,0.834987375362759,0.677444945519431
196.907216494845,0.830634110356099,0.931865016329942
214.845360824742,0.744280537995272,0.763989519092513
234.639175257732,0.717539196530025,0.884405698785044
256.907216494845,0.663427418885067,0.917365842146403
282.886597938144,0.570110628194774,0.616611117423495
311.958762886598,0.50027113843267,0.564181501382351
383.917525773196,0.418813267670773,0.663427418885058
429.072164948454,0.381204286308826,0.354303717718722
482.886597938144,0.317469940554654,0.391298797302338
546.391752577319,0.244452921910488,0.280039355352202
613.19587628866,0.204649277465321,0.298167867981488
