mDaughter1,obs,exp
3.6,0.000522,0.000516
3.7,0.000461,0.000396
3.8,0.000701,0.000381
3.9,0.000552,0.000369
4.0,0.000404,0.000361
4.1,0.000483,0.000348
4.2,0.0004,0.00034
4.3,0.000439,0.000328
4.4,0.000431,0.000321
4.5,0.000261,0.00031
4.6,0.000269,0.000297
4.7,0.000337,0.00029
4.8,0.000459,0.000284
4.9,0.000474,0.00028
5.0,0.000552,0.000268
5.1,0.000366,0.000264
5.2,0.000295,0.000261
5.3,0.000433,0.000254
5.4,0.000224,0.00025
5.5,0.00039,0.000246
5.6,0.000555,0.000243
5.7,0.000504,0.000239
5.8,0.000234,0.000236
5.9,0.000293,0.000235
6.0,0.000378,0.000233
6.1,0.00036,0.000233
6.2,0.000433,0.00023
6.3,0.000205,0.000228
6.4,0.000268,0.000228
6.5,0.000495,0.000227
6.6,0.000476,0.000226
6.7,0.00039,0.000226
6.8,0.000314,0.000226
6.9,0.000315,0.000226
7.0,0.000358,0.000226
7.1,0.000427,0.000226
7.2,0.000436,0.000225
7.3,0.000411,0.000225
7.4,0.000217,0.000225
7.5,0.000194,0.000225
7.6,0.000191,0.000225
7.7,0.000159,0.000226
7.8,0.000134,0.000224
7.9,0.000251,0.000224
8.0,0.000327,0.000235
8.1,0.000314,0.000233
8.2,0.000358,0.000232
8.3,0.0004,0.000239
8.4,0.000417,0.000234
8.5,0.000398,0.000234
8.6,0.000374,0.000234
8.7,0.000324,0.000236
8.8,0.000242,0.000236
8.9,0.000202,0.000241
9.0,0.000168,0.000244
9.1,0.000183,0.000254
9.2,0.000191,0.000287
9.3,0.000195,0.000317
9.4,0.000258,0.000348
9.5,0.000298,0.000348
9.6,0.000272,0.00033
9.7,0.000258,0.000316
9.8,0.000258,0.000306
9.9,0.0003,0.000315
10.0,0.000286,0.000326
10.1,0.000285,0.000334
10.2,0.000283,0.000332
10.3,0.000258,0.000333
10.4,0.00022,0.000322
10.5,0.000195,0.000305
10.6,0.000177,0.00028
10.7,0.000176,0.000257
10.8,0.000183,0.000248
10.9,0.000203,0.000243
11.0,0.000205,0.000239
11.1,0.000183,0.000252
11.2,0.000169,0.00025
11.3,0.000173,0.000249
11.4,0.000197,0.000248
11.5,0.000249,0.000251
11.6,0.000328,0.000259
11.7,0.00045,0.000259
11.8,0.000536,0.000261
11.9,0.000568,0.000262
12.0,0.000555,0.000262
12.1,0.000533,0.000263
12.2,0.000526,0.000266
12.3,0.0005,0.000261
12.4,0.000476,0.000265
12.5,0.000443,0.000266
12.6,0.000416,0.000267
12.7,0.00037,0.000267
12.8,0.000312,0.000268
12.9,0.000263,0.000271
13.0,0.000223,0.000268
13.1,0.000227,0.000269
13.2,0.000267,0.000267
13.3,0.000294,0.000268
13.4,0.000306,0.00027
13.5,0.000296,0.00027
13.6,0.000285,0.000271
13.7,0.000271,0.000273
13.8,0.000295,0.000274
13.9,0.000378,0.000272
14.0,0.000445,0.000273
14.1,0.000456,0.000274
14.2,0.000431,0.000274
14.3,0.000336,0.000277
14.4,0.000245,0.000278
14.5,0.000223,0.000278
14.6,0.000233,0.000281
14.7,0.000241,0.000281
14.8,0.000233,0.000282
14.9,0.0002,0.000283
15.0,0.000205,0.000283
15.1,0.000213,0.000285
15.2,0.000237,0.000285
15.3,0.00027,0.000287
15.4,0.000299,0.000287
15.5,0.000307,0.000288
15.6,0.000286,0.000288
15.7,0.000265,0.000292
15.8,0.000274,0.000292
15.9,0.00021,0.000293
16.0,0.000168,0.000296
16.1,0.00022,0.000296
16.2,0.000221,0.000297
16.3,0.000236,0.000298
16.4,0.000298,0.0003
16.5,0.000398,0.000301
16.6,0.000473,0.000303
16.7,0.000497,0.000303
16.8,0.000473,0.000305
16.9,0.000441,0.000307
17.0,0.000391,0.000306
17.1,0.00035,0.000312
17.2,0.000328,0.000312
17.3,0.000334,0.000314
17.4,0.000316,0.000318
17.5,0.000312,0.00032
17.6,0.000261,0.000321
17.7,0.000254,0.000324
17.8,0.000253,0.000326
17.9,0.000273,0.00033
18.0,0.000278,0.000334
18.1,0.000277,0.000337
18.2,0.000272,0.00034
18.3,0.000269,0.000346
18.4,0.000274,0.000347
18.5,0.000242,0.000351
18.6,0.000253,0.000355
18.7,0.00025,0.000357
18.8,0.000266,0.000362
18.9,0.00029,0.000367
19.0,0.000306,0.000369
19.1,0.000302,0.000372
19.2,0.000279,0.000378
19.3,0.000281,0.000377
19.4,0.00028,0.000383
19.5,0.000241,0.000386
19.6,0.000238,0.000389
19.7,0.000246,0.000394
19.8,0.000258,0.000401
19.9,0.000316,0.000404
20.0,0.000363,0.000408
20.1,0.000416,0.000413
20.2,0.000456,0.000418
20.3,0.000503,0.000424
20.4,0.000534,0.000429
20.5,0.00055,0.000435
20.6,0.000575,0.000437
20.7,0.000585,0.000444
20.8,0.000575,0.000446
20.9,0.000572,0.000458
21.0,0.000557,0.00048
